type,size,duration,sorted
parallel,5300,0.00100017,true
sequential,5400,0.000999928,true
parallel,5400,0,true
sequential,5500,0.000999928,true
parallel,5500,0.00200009,true
sequential,5600,0.000999928,true
parallel,5600,0.000999928,true
sequential,5700,0.00100017,true
parallel,5700,0.000999928,true
sequential,5800,0.000999928,true
parallel,5800,0.00100017,true
sequential,5900,0.000999928,true
parallel,5900,0,true
sequential,6000,0.00100017,true
parallel,6000,0.000999928,true
sequential,6100,0.000999928,true
parallel,6100,0.000999928,true
sequential,6200,0.000999928,true
parallel,6200,0.000999928,true
sequential,6300,0.00100017,true
parallel,6300,0.000999928,true
sequential,6400,0.000999928,true
parallel,6400,0.000999928,true
sequential,6500,0.000999928,true
parallel,6500,0.000999928,true
sequential,6600,0,true
parallel,6600,0.000999928,true
sequential,6700,0.000999928,true
parallel,6700,0.000999928,true
sequential,6800,0.000999928,true
parallel,6800,0.000999928,true
sequential,6900,0.000999928,true
parallel,6900,0,true
sequential,7000,0.000999928,true
parallel,7000,0.000999928,true
sequential,7100,0,true
parallel,7100,0.0209999,true
sequential,7200,0.000999928,true
parallel,7200,0.0309999,true
sequential,7300,0.00400019,true
parallel,7300,0.000999928,true
sequential,7400,0.000999928,true
parallel,7400,0.000999928,true
sequential,7500,0.000999928,true
parallel,7500,0.00200009,true
sequential,7600,0.00100017,true
parallel,7600,0.000999928,true
sequential,7700,0.00100017,true
parallel,7700,0.00199986,true
sequential,7800,0.000999928,true
parallel,7800,0.000999928,true
sequential,7900,0.00100017,true
parallel,7900,0.000999928,true
sequential,8000,0.000999928,true
parallel,8000,0.000999928,true
sequential,8100,0.000999928,true
parallel,8100,0.00100017,true
sequential,8200,0.00100017,true
parallel,8200,0.000999928,true
sequential,8300,0.000999928,true
parallel,8300,0.00200009,true
sequential,8400,0.000999928,true
parallel,8400,0.00100017,true
sequential,8500,0.00100017,true
parallel,8500,0.000999928,true
sequential,8600,0.00100017,true
parallel,8600,0.000999928,true
sequential,8700,0,true
parallel,8700,0.000999928,true
sequential,8800,0.000999928,true
parallel,8800,0.000999928,true
sequential,8900,0.000999928,true
parallel,8900,0.00100017,true
sequential,9000,0.000999928,true
